artist_name,genres,followers,artist_popularity,artist_url
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,81,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,78,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,73,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,73,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,72,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,72,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,69,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
USHER,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",11933139,70,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
AFI,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",924438,70,https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz
AFI,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",924438,59,https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz
AFI,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",924438,52,https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz
